"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"637" 100 100 100 75 23 23 17
"638" 100 100 100 99 80 80 64
"639" 100 100 100 83 83 54 12
"640" 100 100 100 69 69 33 25
"641" 100 100 100 92 39 27 8
"642" 100 100 100 88 88 53 37
"643" 100 100 100 89 18 17 3
"644" 100 100 100 100 100 100 100
"645" 100 100 100 100 100 100 65
"646" 100 100 100 89 18 13 13
"647" 100 100 100 96 52 52 46
"648" 100 100 100 99 82 82 78
"649" 100 100 100 100 100 100 100
"650" 100 100 100 94 38 23 22
"651" 100 100 100 98 78 78 72
"652" 100 100 100 84 51 47 47
"653" 100 100 100 96 86 86 79
"654" 100 100 100 90 80 46 20
"655" 100 100 100 69 45 17 14
"656" 100 100 100 97 78 78 74
"657" 100 100 100 100 100 100 97
"658" 100 100 100 97 42 42 39
"659" 100 100 100 99 91 61 20
"660" 100 100 100 93 86 86 79
"661" 100 100 100 80 25 18 17
"662" 100 100 100 97 41 32 8
"663" 100 100 100 99 95 11 10
"664" 100 100 100 92 35 33 16
"665" 100 100 100 100 80 80 67
"666" 100 100 100 100 100 100 81
"667" 100 100 100 98 62 62 61
"668" 100 100 100 98 71 71 61
"669" 100 100 100 98 88 79 51
"670" 100 100 100 100 90 90 50
"671" 100 100 100 96 79 77 23
"672" 100 100 100 84 69 46 6
"673" 100 100 100 100 100 100 100
"674" 100 100 100 100 100 99 40
"675" 100 100 100 91 54 14 10
"676" 100 100 100 78 36 36 35
"677" 100 100 100 99 84 82 31
"678" 100 100 100 100 100 100 22
"679" 100 100 100 89 50 48 12
"680" 100 100 100 100 100 97 45
"681" 100 100 100 95 24 24 20
"682" 100 100 100 89 17 17 9
"683" 100 100 100 80 24 24 5
"684" 100 100 100 98 98 71 44
"685" 100 100 100 100 84 84 84
"686" 100 100 100 95 58 46 15
"687" 100 100 100 90 88 55 13
"688" 100 100 100 100 93 20 20
"689" 100 100 100 95 89 45 19
"690" 100 100 100 93 79 79 63
"691" 100 100 100 99 98 96 48
"692" 100 100 100 92 65 64 46
"693" 100 100 100 100 100 100 100
"694" 100 100 100 100 100 100 99
