"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"175" "A9" "E-011" "30" "20" "7" "P03" "26" "339" "153" "14.00000" " 8.20805873" "2.672193" " 0.057644788" "3.677483" "1"
"176" "A9" "E-026" "30" "20" "7" "P03" "28" "348" "268" "14.00000" " 4.68117455" "3.220853" "-0.148545689" "3.165937" "1"
"177" "A10" "E-042" "30" "20" "7" "P03" "30" "361" "379" "16.00000" " 1.28898369" "2.957677" "-1.139538304" "2.584353" "1"
"178" "A9" "J-036" "30" "20" "7" "P03" "32" "408" "153" "18.00000" " 4.51276511" "3.285502" "-0.032894543" "2.939623" "1"
"179" "A10" "J-054" "30" "20" "7" "P03" "34" "410" "271" "15.61538" " 0.20427070" "2.472638" "-0.046621622" "2.513166" "1"
"180" "A1" "J-068" "30" "20" "7" "P03" "36" "416" "382" "15.61538" " 0.41409987" "3.496638" "-1.521098825" "4.520965" "1"
"181" "A10" "J-083" "20" "30" "7" "P03" " 1" "124" "112" "15.00000" " 5.90983075" "3.505003" "-0.072991368" "3.490131" "1"
"182" "A6" "J-092" "20" "30" "7" "P03" " 3" "124" "219" "15.00000" " 2.24813822" "3.046162" "-0.489276228" "2.781673" "1"
"183" "Neg" "0" "20" "30" "7" "P03" " 5" "128" "313" "14.39130" "-0.50875190" "2.588156" "-0.275949739" "2.952348" "1"
"184" "A10" "E-061-B" "20" "30" "7" "P03" " 7" "201" "119" "14.00000" "11.74673736" "4.620269" " 0.005527671" "3.966140" "1"
"185" "A9" "J-002" "20" "30" "7" "P03" " 9" "203" "224" "15.00000" " 4.73392102" "4.184470" "-0.528326693" "2.890912" "1"
